,name,ep,lan
939,Blades of the Guardians,Ep 15/15,SUB
940,Purple River: Hidden Interactive Drama,Ep 9/9,SUB
941,Sweet Bite Marks,Ep 12/12,SUB
942,"Spare Me, Great Lord!",Ep 12/12,SUB
943,Dragon Raja,Ep 16/16,SUB
944,Knights on Debris,Ep 14/14,SUB
945,Yang Yao The Spirit Catcher,Ep 11/11,SUB
946,Doupo Cangqiong 4th Season,Ep 24/24,SUB
947,Chainsaw Man,Ep 12/12,"SUB
DUB"
948,Love of Kill,Ep 12/12,"SUB
DUB"
949,A Harem in a Fantasy World Labyrinth,Ep 12/12,SUB
950,Maitetsu 2nd Season,Ep 4/13,SUB
951,Kakushigoto: The Movie,Ep Full,SUB
952,Crayon Shin-chan Movie 29: Mystery Meki! Hana no Tenkasu Gakuen,Ep Full,SUB
953,Belle,Ep Full,"SUB
DUB"
954,"I'm standing on 1,000,000 lives.",Ep 12/12,"SUB
DUB"
955,Tonikaku Kawaii: SNS,Ep 1/1,SUB
956,World Trigger 3rd Season,Ep 14/14,"SUB
DUB"
957,Record of Ragnarok,Ep 12/12,"SUB
DUB"
958,Platinum End,Ep 24/24,"SUB
DUB"
959,Is It Wrong to Try to Pick Up Girls in a Dungeon? III OVA,Ep 1/1,SUB
960,Taisho Otome Fairy Tale,Ep 12/12,SUB
961,God of Ten Thousand Realms,Ep 54/54,SUB
962,Okashi na Sabaku no Suna to Manu,Ep 11/50,SUB
963,Slow Loop,Ep 12/12,SUB
964,Bakugan: Geogan Rising,Ep 25/26,DUB
965,Takt Op. Destiny,Ep 12/12,"SUB
DUB"
966,Jujutsu Kaisen 0 Movie,Ep Full,"SUB
DUB"
967,Visual Prison,Ep 12/12,SUB
968,Eighty Six: 2nd Season,Ep 12/12,"SUB
DUB"
969,"UtaPri Movie 2, Uta no Prince-sama Maji Love Starish Tours Movie",Ep Full,SUB
970,Home!,Ep 1/1,SUB
971,The Case Study of Vanitas,Ep 12/12,"SUB
DUB"
972,"Attack on Titan: Final Season, Part 2",Ep 12/12,"SUB
DUB"
973,Black Clover: Sword of the Wizard King,Ep Full,"SUB
DUB"
974,The Journey,Ep Full,SUB
975,Memory of Chang'an 2nd Season,Ep 13/13,SUB
976,Do It Yourself!!,Ep 12/12,SUB
977,The Quintessential Quintuplets: The Movie,Ep Full,"SUB
DUB"
978,Dr. Stone: New World,Ep 11/11,"SUB
DUB"
979,Akebi's Sailor Uniform,Ep 12/12,"SUB
DUB"
980,Beyblade Burst Dynamite Battle,Ep 52/52,SUB
981,Scarlet Nexus,Ep 26/26,"SUB
DUB"
982,GLOOMY The Naughty Grizzly,Ep 12/12,"SUB
DUB"
983,Yashahime: Princess Half-Demon: The Second Act,Ep 24/24,"SUB
DUB"
984,Encouragement of Climb: Next Summit,Ep 12/12,SUB
985,Higurashi: When They Cry – SOTSU,Ep 15/15,"SUB
DUB"
986,Idol Land PriPara,Ep 7,SUB
987,Mazica Party,Ep 5,SUB
988,Kyoukai Senki,Ep 13/13,"SUB
DUB"
989,D_Cide Traumerei,Ep 13/13,SUB
990,Irina: The Vampire Cosmonaut,Ep 12/12,"SUB
DUB"
991,Lord of the Universe 3rd Season,Ep 208/208,SUB
992,Mieruko-chan,Ep 12/12,"SUB
DUB"
993,SK∞: Crazy Rock Jam,Ep 1/1,SUB
994,The Legend of Heroes: Trails of Cold Steel - Northern War,Ep 12/12,"SUB
DUB"
995,The Ancient Magus' Bride OVA - Mahoutsukai no Yome OVA,Ep 3/3,"SUB
DUB"
996,Aria the Benedizione,Ep Full,SUB
997,Sabikui Bisco,Ep 12/12,"SUB
DUB"
998,The Greatest Demon Lord Is Reborn as a Typical Nobody,Ep 12/12,"SUB
DUB"
999,The Misfit of Demon King Academy II Part 2,Ep 7,SUB
1000,Akuma-kun (ONA),Ep 12/12,"SUB
DUB"
1001,Kuma Kuma Kuma Bear Punch!,Ep 12/12,"SUB
DUB"
1002,Aggretsuko (ONA) 4th Season,Ep 10/10,"SUB
DUB"
1003,Banished From the Heroes' Party,Ep 13/13,"SUB
DUB"
1004,ABCiee Working Diary,Ep 12/12,SUB
1005,SD GUNDAM WORLD HEROES,Ep 24/24,SUB
1006,Holo Graffiti,Ep 166,SUB
1007,God of Desolation,Ep 80/80,SUB
1008,Gundam Build Divers Battlogue,Ep 1/1,SUB
1009,Sasaki to Miyano,Ep 12/12,"SUB
DUB"
1010,Puparia,Ep 1/1,SUB
1011,Drowning Sorrows in Raging Fire,Ep 12/12,SUB
1012,Epic of Divinity Light,Ep 12/12,SUB
1013,Fairies Albums 2nd Season,Ep 12/12,SUB
1014,Legend of Exorcism,Ep 13/13,SUB
1015,The Daily Life of the Immortal King 2nd Season,Ep 12/12,"SUB
DUB"
1016,Heaven Official's Blessing Special,Ep 1/1,"SUB
DUB"
1017,Carp Reborn 2nd Season,Ep 16/16,SUB
1018,My ACG Parents,Ep 24/24,SUB
1019,You're A Genius!,Ep 24/24,SUB
1020,Link Click,Ep 11/11,"SUB
DUB"
1021,The Gerent Saga,Ep 6/6,SUB
1022,B-Project: Netsuretsu*Love Call,Ep 12/12,SUB
1023,Gintama: The Semi-Final,Ep 2/2,SUB
1024,Fox Spirit Matchmaker 10th Season,Ep 12/12,SUB
1025,Wataten! An Angel Flew Down to Me,Ep Full,SUB
1026,TROPICAL-ROUGE! PRETTY CURE,Ep 46/46,SUB
1027,Thousand Autumns,Ep 16/16,SUB
1028,My Hero Academia the Movie 3: World Heroes' Mission,Ep Full,"SUB
DUB"
1029,Spirit Chronicles,Ep 12/12,"SUB
DUB"
1030,In/Spectre Season 2,Ep 12/12,"SUB
DUB"
1031,Yami Shibai 8,Ep 13/13,SUB
1032,Beyond the Ocean 2,Ep 24/24,SUB
1033,Swallowed Star,Ep 26/26,SUB
1034,The Demonic King Who Chases His Wife 2nd Season,Ep 12/12,SUB
1035,Foreordination,Ep 12/12,SUB
1036,Pui Pui Molcar,Ep 12/12,SUB
1037,Peerless Martial Spirit,Ep 347/340,SUB
1038,Semi and the Magic Cube,Ep null/26,DUB
1039,High-Rise Invasion,Ep 12/12,"SUB
DUB"
1040,Kageki Shojo!! The Curtain Rises,Ep 13/13,"SUB
DUB"
1041,The Way of the Househusband,Ep 5/5,"SUB
DUB"
1042,Thermae Romae Novae,Ep 11/11,"SUB
DUB"
1043,Rilakkuma's Theme Park Adventure,Ep 8/8,"SUB
DUB"
1044,Semi and the Magic Cube 2,Ep null/26,DUB
1045,Cue!,Ep 24/24,SUB
1046,Getter Robo Arc,Ep 13/13,"SUB
DUB"
1047,Backflip!!,Ep 12/12,SUB
1048,The Fire Hunter,Ep 10/10,SUB
1049,Hula Fulla Dance,Ep Full,SUB
1050,Cestvs: The Roman Fighter,Ep 11/11,SUB
1051,Night Head 2041,Ep 12/12,SUB
1052,Vazzrock The Animation,Ep 13/13,SUB
1053,A Portrait of Jianghu Xia Lan,Ep 40/40,SUB
1054,When I Woke Up I Became a Bagel Girl,Ep 15/15,SUB
1055,Beyblade Metal Fury,Ep 39/39,DUB
1056,Koukaku Kidoutai: SAC_2045 2nd Season,Ep 12/12,"SUB
DUB"
1057,Cardfight!! Vanguard: overDress Season 2,Ep 13/13,"SUB
DUB"
1058,Mahouka Koukou no Rettousei: Tsuioku-hen,Ep 1/1,SUB
1059,RPG Real Estate,Ep 12/12,SUB
1060,The Detective Is Already Dead,Ep 12/12,"SUB
DUB"
1061,SANTA COMPANY ~Midsummer Merry Christmas~,Ep Full,SUB
1062,Dolls' Frontline,Ep 12/12,"SUB
DUB"
1063,Duel Masters King! [RAW],Ep 43/43,
1064,IDOLiSH7 Third BEAT! Part 2,Ep 17/17,SUB
1065,I Am The only God,Ep 50/50,SUB
1066,"The Fruit of Evolution: Before I Knew It, My Life Had It Made (2021)",Ep 12/12,"SUB
DUB"
1067,The Genius Prince's Guide to Raising a Nation Out of Debt,Ep 12/12,"SUB
DUB"
1068,Goblin Slayer 2nd Season,Ep 12/12,"SUB
DUB"
1069,Shikkakumon no Saikyou Kenja,Ep 12/12,"SUB
DUB"
1070,The Executioner and Her Way of Life,Ep 12/12,"SUB
DUB"
1071,My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World,Ep 12/12,"SUB
DUB"
1072,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV,Ep 11/11,"SUB
DUB"
1073,Summer Time Rendering,Ep 25/25,"SUB
DUB"
1074,Joran The Princess of Snow and Blood,Ep 12/12,SUB
1075,The Duke of Death and His Maid,Ep 12/12,"SUB
DUB"
1076,Seven Knights Revolution: The Hero's Successor,Ep 12/12,SUB
1077,Kimetsu Academy: Valentine Edition,Ep 4/4,"SUB
DUB"
1078,Perfect World,Ep 150/182,SUB
1079,Cooking with Valkyries Spring Festival Special,Ep 1/1,SUB
1080,The Promised Neverland Season 2 Episode 5.5,Ep 1/1,SUB
1081,Blue Reflection,Ep 24/24,"SUB
DUB"
1082,Demon Slayer: Entertainment District Arc,Ep 11/11,"SUB
DUB"
1083,The World's Finest Assassin Gets Reincarnated in a Different World as an Aristocrat,Ep 12/12,"SUB
DUB"
1084,Bocchi the Rock!,Ep 12/12,SUB
1085,Miss Kobayashi's Dragon Maid 2nd Season,Ep 12/12,"SUB
DUB"
1086,Trese,Ep 6/6,"SUB
DUB"
1087,Sonny Boy,Ep 12/12,"SUB
DUB"
1088,Saga of Tanya the Evil: Operation Desert Pasta,Ep 1/1,SUB
1089,Tokyo Revengers (Uncensored),Ep 24/24,"SUB
DUB"
1090,Castlevania 4th Season,Ep 10/10,"SUB
DUB"
1091,Castlevania 3rd Season,Ep 10/10,"SUB
DUB"
1092,Castlevania 2nd Season,Ep 8/8,"SUB
DUB"
1093,Castlevania,Ep 4/4,"SUB
DUB"
1094,Esper Mami,Ep 44/119,SUB
1095,JoJo's Bizarre Adventure Part 5: Golden Wind,Ep 39/39,SUB
1096,JoJo's Bizarre Adventure Part 4: Diamond is Unbreakable,Ep 39/39,SUB
1097,JoJo's Bizarre Adventure Part 3: Stardust Crusaders 2nd Season,Ep 24/24,SUB
1098,JoJo's Bizarre Adventure Part 2: Stardust Crusaders,Ep 24/24,SUB
1099,JoJo's Bizarre Adventure,Ep 26/26,"SUB
DUB"
1100,Doraemon (US),Ep 52/52,DUB
1101,Barangay 143 2nd Season,Ep 12/12,SUB
1102,Barangay 143,Ep 14/14,SUB
1103,Redo of Healer (Uncensored),Ep 12/12,SUB
1104,Demon Slayer: The Hashira Meeting Arc,Ep Full,DUB
1105,Demon Slayer: Mt. Natagumo Arc,Ep Full,"SUB
DUB"
1106,Demon Slayer: Sibling's Bond,Ep Full,DUB
1107,Chibi Maruko-chan,Ep 77/77,SUB
1108,UPO,Ep 3/3,SUB
1109,A Couple of Cuckoos,Ep 24/24,"SUB
DUB"
1110,Tesla Note,Ep 13/13,SUB
1111,Ten Thousand Worlds,Ep 50/50,SUB
1112,Fox Spirit Matchmaker 11th Season,Ep 12/12,SUB
1113,Dance Dance Danseur,Ep 11/11,SUB
1114,Gokushufudou Part 2,Ep 5/5,"SUB
DUB"
1115,Obey Me!,Ep 12/12,SUB
1116,Love after World Domination,Ep 12/12,"SUB
DUB"
1117,Rumble Garanndoll,Ep 12/12,"SUB
DUB"
1118,Fuuto PI,Ep 12/12,SUB
1119,JoJo's Bizarre Adventure Part 6: Stone Ocean,Ep 12/12,"SUB
DUB"
1120,JoJo's Bizarre Adventure Part 6: Stone Ocean Part 2,Ep 12/12,"SUB
DUB"
1121,Hetalia World★Stars Specials,Ep 3/3,"SUB
DUB"
1122,Soul Land: 7th Season,Ep 13/13,SUB
1123,Wonder Egg Priority Special,Ep 1/1,"SUB
DUB"
1124,Soul Land: 8th Season,Ep 15,SUB
1125,Liar Liar,Ep 12/12,"SUB
DUB"
1126,Re:cycle of the Penguindrum,Ep 2/2,"SUB
DUB"
1127,Soul Land: 6th Season,Ep 15/15,SUB
1128,The Devil is a Part-Timer!!,Ep 12/12,"SUB
DUB"
1129,The Misfit of Demon King Academy II,Ep 12/12,"SUB
DUB"
1130,Re-Main,Ep 12/12,"SUB
DUB"
1131,Totsukuni no Shoujo (2022),Ep 1/1,SUB
1132,JoJo's Bizarre Adventure: Battle Tendency,Ep 2/2,SUB
1133,Princess Principal: Crown Handler - Chapter 3,Ep Full,SUB
1134,Princess Principal: Crown Handler Movie 2,Ep Full,SUB
1135,Heaven's Design Team,Ep 1/1,SUB
1136,Pretty Guardians Sailor Moon: COSMOS The Movie,Ep Full,SUB
1137,Mushoku Tensei: Jobless Reincarnation Part 2,Ep 12/12,"SUB
DUB"
1138,Ling Long: Incarnation Final Chapter,Ep 2/2,SUB
1139,Fei Ren Zai 4th Season,Ep 8/8,SUB
1140,Thousands of worlds,Ep 26/26,SUB
1141,Gundam: G no Reconguista Movie III - Uchuu kara no Isan,Ep Full,SUB
1142,L.O.R.D: Legend of Ravaging Dynasties 2 - Coldblood Feast,Ep 1/1,SUB
1143,Juliet,Ep 1/1,SUB
1144,Battle in 5 seconds after meeting.,Ep 12/12,"SUB
DUB"
1145,"Girlfriend, Girlfriend",Ep 12/12,"SUB
DUB"
1146,Doraemon Movie 41: Nobita's Space War (Little Star Wars),Ep Full,SUB
1147,Wonder Egg Priority,Ep 13/12,"SUB
DUB"
1148,Moriarty the Patriot,Ep 13/13,"SUB
DUB"
1149,Fireball Gebaude Baude,Ep 10/10,SUB
1150,Bear Bear Bear Kuma!,Ep 12/12,SUB
1151,Shadows House,Ep 13/13,"SUB
DUB"
1152,So I Tried to Prove It 2nd Season,Ep 12/12,"SUB
DUB"
1153,Alice Gear Aegis: Doki! Actress Darake no Mermaid Grand Prix,Ep 1/1,SUB
1154,Tsukimichi -Moonlit Fantasy-,Ep 12/12,"SUB
DUB"
1155,Dr. Stone: Stone Wars Eve of the Battle Special Feature,Ep 1/1,SUB
1156,Hetalia World Stars,Ep 12/12,"SUB
DUB"
1157,Kaguya-sama Love is War: Ultra Romantic,Ep 13/13,"SUB
DUB"
1158,Kaguya-sama: Love is War OVA,Ep 1/1,SUB
1159,Music Up: Reborn,Ep 12/12,SUB
1160,Munou na Nana Mini Anime: Yaminabe Party,Ep 12/12,SUB
1161,Aikatsu Planet!,Ep 25/25,SUB
1162,Ranking of Kings,Ep 23/23,"SUB
DUB"
1163,Muv-Luv Alternative,Ep 12/12,SUB
1164,Marudase Kintarou,Ep Full,SUB
1165,No Money Omake episodes,Ep 4/4,SUB
1166,No Money,Ep 4/4,SUB
1167,Kite,Ep 1/1,SUB
1168,Saigo no Door wo Shimero!,Ep 1/1,SUB
1169,Words Bubble Up Like Soda Pop,Ep Full,"SUB
DUB"
1170,The Orbital Children,Ep 6/6,"SUB
DUB"
1171,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,Ep 12/12,SUB
1172,Cardfight!! Vanguard: Over Dress,Ep 12/12,"SUB
DUB"
1173,Cap Kakumei Bottleman,Ep 25/25,"SUB
DUB"
1174,The Defective,Ep 16/16,SUB
1175,Bungo Stray Dogs Wan!,Ep 12/12,"SUB
DUB"
1176,Remake our Life!,Ep 12/12,"SUB
DUB"
1177,My Hero Academia 5th Season,Ep 25/25,"SUB
DUB"
1178,Bleach: Thousand-Year Blood War Arc,Ep 13/13,"SUB
DUB"
1179,Blade Runner: Black Lotus,Ep 13/13,"SUB
DUB"
1180,Pretty Boy Detective Club,Ep 12/12,"SUB
DUB"
1181,Sailor Moon Eternal: The Movie II,Ep Full,"SUB
DUB"
1182,Sailor Moon Eternal: The Movie I,Ep Full,"SUB
DUB"
1183,Beastars 2nd Season,Ep 12/12,"SUB
DUB"
1184,Bean Bandit,Ep 1/1,SUB
1185,Battle Athletes Victory ReSTART!,Ep 12/12,"SUB
DUB"
1186,Requiem of the Rose King,Ep 24/24,"SUB
DUB"
1187,BanG Dream! Movie: Poppin' Dream!,Ep Full,SUB
1188,BanG Dream! Movie: Episode of Roselia - II: Song I Am.,Ep Full,SUB
1189,BanG Dream! Movie: Episode of Roselia - I: Yakusoku,Ep Full,SUB
1190,BanG Dream! Film Live 2nd Stage,Ep Full,SUB
1191,Back Arrow,Ep 24/24,"SUB
DUB"
1192,B: The Beginning 2,Ep 6/6,"SUB
DUB"
1193,Azur Lane: Bisoku Zenshin!,Ep 12/12,SUB
1194,Aya to Majo,Ep 1/1,DUB
1195,Arifureta Shokugyou de Sekai Saikyou 2nd Season,Ep 12/12,"SUB
DUB"
1196,Aria the Crepuscolo,Ep Full,SUB
1197,Anime Kabibarasan,Ep 24/24,SUB
1198,Feast of Amrita,Ep Full,SUB
1199,Sing a Bit of Harmony,Ep Full,"SUB
DUB"
1200,Adachi and Shimamura,Ep 12/12,"SUB
DUB"
1201,A3! Season Autumn & Winter,Ep 12/12,"SUB
DUB"
1202,86,Ep 11/11,"SUB
DUB"
1203,The Quintessential Quintuplets 2,Ep 12/12,"SUB
DUB"
1204,2.43: Seiin High School Boys Volleyball Team,Ep 12/12,"SUB
DUB"
1205,The Last Summoner,Ep 12/12,SUB
1206,Zombie Land Saga Revenge,Ep 12/12,"SUB
DUB"
1207,Rakshasa Street 2,Ep 10/10,SUB
1208,Yuuki Yuuna wa Yuusha de Aru: Dai Mankai no Shou,Ep 12/12,SUB
1209,Yuki Yuna Is a Hero,Ep 12/12,SUB
1210,Yuru Camp△ Movie,Ep Full,SUB
1211,Laid-Back Camp 2nd Season,Ep 13/13,"SUB
DUB"
1212,Hero Return,Ep 12/12,SUB
1213,Yes ka no ka hanbunka,Ep Full,SUB
1214,Yatogame-chan Kansatsu Nikki Sansatsume,Ep 12/12,SUB
1215,The Promised Neverland: 2nd Season,Ep 11/11,"SUB
DUB"
1216,Let's Make a Mug Too,Ep 12/12,SUB
1217,Xin Jue,Ep 13/13,SUB
1218,World Witches Hasshin Shimasu!,Ep 12/12,"SUB
DUB"
1219,World Trigger 2,Ep 12/12,"SUB
DUB"
1220,What's Wrong with My Big Brother 2 season,Ep 13/13,SUB
1221,WIXOSS Diva(A)Live,Ep 12/12,SUB
1222,All Saints Street 2,Ep 12/12,SUB
1223,Vlad Love,Ep 12/12,SUB
1224,Vampire in the Garden,Ep 5/5,"SUB
DUB"
1225,Uzaki-chan wa Asobitai! 2nd Season,Ep 13/13,"SUB
DUB"
1226,Utawarerumono: Mask of Truth,Ep 28/28,"SUB
DUB"
1227,Otherside Picnic,Ep 12/12,"SUB
DUB"
1228,Life Lessons with Uramichi Oniisan,Ep 13/13,"SUB
DUB"
1229,Uma Musume: Pretty Derby Season 2,Ep 13/13,SUB
1230,Ultraman 2,Ep 6/6,"SUB
DUB"
1231,Tsukipro The Animation 2nd Season,Ep 13/13,SUB
1232,Toutotsu ni Egypt Kami,Ep 10/10,SUB
1233,Tokyo Revengers,Ep 24/24,"SUB
DUB"
1234,Tokyo Mew Mew New ♡,Ep 12/12,SUB
1235,Tokyo 7th Sisters,Ep Full,SUB
1236,Toji no Miko: Kizamishi Issen no Tomoshibi OVA,Ep 2/2,SUB
1237,Tiger & Bunny 2,Ep 13/13,"SUB
DUB"
1238,Tian Guan Ci Fu,Ep 11/11,"SUB
DUB"
1239,No Doubt In Us,Ep 24/24,SUB
1240,The Vampire dies in no time,Ep 12/12,"SUB
DUB"
1241,Don't Call Us A JUNK GAME!,Ep 12/12,SUB
1242,"So I'm a Spider, So What?",Ep 24/24,"SUB
DUB"
1243,Eureka Seven Hi-Evolution 3,Ep Full,"SUB
DUB"
1244,"It's Too Sick to Call this Love, Koikimo",Ep 12/12,SUB
1245,Miss Kobayashi's Dragon Maid Mini Shorts,Ep 13/13,SUB
1246,Kiniro Mosaic: Thank You!!,Ep Full,SUB
1247,Over the Sky,Ep Full,SUB
1248,Demon Slayer Movie: Mugen Train,Ep Full,"SUB
DUB"
1249,She professed herself the pupil of the wise man.,Ep 12/12,"SUB
DUB"
1250,Kemono Jihen,Ep 12/12,"SUB
DUB"
1251,KanColle Season 2: Let's Meet at Sea,Ep 8/8,SUB
1252,Rent-A-Girlfriend 2nd Season,Ep 12/12,"SUB
DUB"
1253,The Day I Became a God,Ep 12/12,"SUB
DUB"
1254,Child of Kamiari Month,Ep Full,"SUB
DUB"
1255,Redo of Healer,Ep 12/12,SUB
1256,Dr. Ramune -Mysterious Disease Specialist-,Ep 12/12,SUB
1257,"Josee, the Tiger and the Fish",Ep Full,"SUB
DUB"
1258,Dropkick On My Devil!! X,Ep 12/12,SUB
1259,Bottom-Tier Character Tomozaki,Ep 12/12,"SUB
DUB"
1260,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense 2nd Season",Ep 12/12,"SUB
DUB"
1261,Isekai Quartet Movie: Another World,Ep Full,SUB
1262,How Not to Summon a Demon Lord Ω,Ep 10/10,"SUB
DUB"
1263,Inu-Ou,Ep Full,SUB
1264,"Don't Toy with Me, Miss Nagatoro",Ep 12/12,"SUB
DUB"
1265,Idoly Pride,Ep 12/12,SUB
1266,Idolls!,Ep 10/10,SUB
1267,I★Chu: Étoile Stage,Ep 12/12,SUB
1268,The Ravages of Time,Ep 16/16,SUB
1269,Hortensia SAGA,Ep 12/12,"SUB
DUB"
1270,Horimiya,Ep 13/13,"SUB
DUB"
1271,Ascendance of a Bookworm Season 3,Ep 10/10,"SUB
DUB"
1272,"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",Ep 13/13,"SUB
DUB"
1273,Sound! Euphonium 3,Ep 7/13,SUB
1274,Heion Sedai no Idaten-tachi,Ep 11/11,SUB
1275,Cells at Work! 2nd Season,Ep 8/8,"SUB
DUB"
1276,Cells at Work! Code Black (TV),Ep 13/13,"SUB
DUB"
1277,Baki Hanma: Son of Ogre,Ep 12/12,"SUB
DUB"
1278,God Troubles Me 2nd Season,Ep 12/12,SUB
1279,Grisaia: Phantom Trigger The Animation - Stargazer,Ep Full,SUB
1280,Godzilla: Singular Point,Ep 13/13,"SUB
DUB"
1281,Is the Order a Rabbit? Bloom,Ep 12/12,SUB
1282,Girls & Panzer: Saishuushou Part 3,Ep Full,SUB
1283,Gintama: The Final,Ep Full,"SUB
DUB"
1284,Legend of the Galactic Heroes: Die Neue These - Kaikou,Ep 12/12,"SUB
DUB"
1285,How a Realist Hero Rebuilt the Kingdom,Ep 13/13,"SUB
DUB"
1286,Gekidol,Ep 13/13,"SUB
DUB"
1287,Futsal Boys!!!!!,Ep 12/12,SUB
1288,To Your Eternity,Ep 20/20,"SUB
DUB"
1289,Fruits Basket: The Final,Ep 13/13,"SUB
DUB"
1290,Free! Movie 4: The Final Stroke - Zenpen,Ep Full,SUB
1291,Fate/kaleid liner Prisma☆Illya Movie,Ep Full,SUB
1292,Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,Ep Full,SUB
1293,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,Ep Full,SUB
1294,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram,Ep Full,"SUB
DUB"
1295,Ex-Arm,Ep 12/12,SUB
1296,Evangelion: 3.0+1.0 Thrice Upon a Time,Ep Full,"SUB
DUB"
1297,Etotama 2,Ep 1/1,SUB
1298,Poupelle of Chimney Town,Ep Full,DUB
1299,Pompo: The Cinéphile,Ep Full,"SUB
DUB"
1300,Edens Zero,Ep 25/25,"SUB
DUB"
1301,Dragon's House-Hunting,Ep 12/12,"SUB
DUB"
1302,Dr. Stone: Stone Wars,Ep 11/11,"SUB
DUB"
1303,Dokyuu Hentai HxEros OVA,Ep 2/2,SUB
1304,I Tried Asking In Dogeza: Special,Ep 1/1,SUB
1305,I Tried Asking In Dogeza,Ep 12/12,SUB
1306,Detective Conan Movie 24: The Scarlet Bullet,Ep Full,"SUB
DUB"
1307,Date A Live IV,Ep 12/12,"SUB
DUB"
1308,Date A Bullet: Nightmare or Queen,Ep Full,SUB
1309,D4DJ First Mix,Ep 13/13,"SUB
DUB"
1310,Cyberpunk: Edgerunners,Ep 10/10,"SUB
DUB"
1311,The iDOLM@STER Million Live!,Ep 12/12,SUB
1312,The Slime Diaries: That Time I Got Reincarnated as a Slime,Ep 12/12,"SUB
DUB"
1313,That Time I Got Reincarnated as a Slime 2nd Season Part 2,Ep 12/12,"SUB
DUB"
1314,That Time I Got Reincarnated as a Slime Season 2,Ep 12/12,"SUB
DUB"
1315,Heaven's Design Team,Ep 12/12,SUB
1316,Suppose a Kid from the Last Dungeon Boonies moved to a starter town?,Ep 12/12,"SUB
DUB"
1317,The Rising of the Shield Hero Season 3,Ep 12/12,"SUB
DUB"
1318,The Rising of the Shield Hero 2nd Season,Ep 13/13,"SUB
DUB"
1319,Taiso Samurai,Ep 11/11,"SUB
DUB"
1320,Sword Art Online: Progressive,Ep Full,"SUB
DUB"
1321,Super Cub,Ep 12/12,"SUB
DUB"
1322,The World Ends with You The Animation,Ep 12/12,"SUB
DUB"
1323,Doraemon: Stand by Me 2,Ep Full,SUB
1324,SSSS.Dynazenon,Ep 12/12,"SUB
DUB"
1325,Spriggan (ONA),Ep 6/6,"SUB
DUB"
1326,Soukyuu no Fafner: Dead Aggressor - The Beyond Part 3,Ep 3/3,SUB
1327,LBX Girls,Ep 12/12,"SUB
DUB"
1328,Sore Ike! Anpanman: Fuwa Fuwa Fuwaly to Kumo no Kuni,Ep Full,DUB
1329,That is the Bottleneck,Ep 12/12,SUB
1330,I've Been Killing Slimes for 300 Years and Maxed Out My Level,Ep 12/12,"SUB
DUB"
1331,SK8 the Infinity,Ep 12/12,"SUB
DUB"
1332,Skate-Leading☆Stars,Ep 12/12,"SUB
DUB"
1333,World's End Harem (Uncensored),Ep 11/11,SUB
1334,Show by Rock!! Stars!!,Ep 12/12,"SUB
DUB"
1335,Shoujo☆Kageki Revue Starlight Movie,Ep Full,SUB
1336,"Attack on Titan: Final Season, Part 1",Ep 16/16,"SUB
DUB"
1337,The New Prince of Tennis: Hyoutei vs. Rikkai - Game of Future,Ep 2/2,"SUB
DUB"
1338,New Cooking Master Boy 2nd Season,Ep 12/12,SUB
1339,Shikizakura,Ep 12/12,"SUB
DUB"
1340,Shika no Ou,Ep Full,"SUB
DUB"
1341,Memory of Chang'an,Ep 12/12,SUB
1342,Youths and Golden Coffin 2,Ep 16/16,SUB
1343,Shaman King (2021),Ep 52/52,"SUB
DUB"
1344,Burning Kabaddi,Ep 12/12,SUB
1345,Combatants Will Be Dispatched!,Ep 12/12,"SUB
DUB"
1346,My Senpai is Annoying,Ep 12/12,"SUB
DUB"
1347,Seitokai Yakuindomo Movie 2,Ep Full,SUB
1348,The Saint's Magic Power is Omnipotent,Ep 12/12,"SUB
DUB"
1349,Sayonara Watashi no Cramer Movie: First Touch,Ep Full,SUB
1350,"Good-bye, Cramer",Ep 13/13,SUB
1351,Sakugan Labyrinth Marker,Ep 12/12,"SUB
DUB"
1352,Saezuru Tori wa Habatakanai: Don't Stay Gold,Ep 1/1,SUB
1353,Rusted Armors,Ep 12/12,SUB
1354,Ryoma! The Prince of Tennis,Ep Full,"SUB
DUB"
1355,Luminous Witches,Ep 12/12,SUB
1356,Re:Zero - Starting Life in Another World 2nd Season (Part 2),Ep 12/12,"SUB
DUB"
1357,The Warrior From Qin,Ep 12/12,SUB
1358,Scar on the Praeter,Ep 13/13,"SUB
DUB"
1359,Princess Principal Crown Handler Movie 1,Ep Full,"SUB
DUB"
1360,Princess Connect! Re:Dive Season 2,Ep 12/12,SUB
1361,Pokemon Movie 23: Coco,Ep Full,DUB
1362,Pluto,Ep 8/8,"SUB
DUB"
1363,Peach Boy Riverside,Ep 12/12,SUB
1364,Otona no Bouguya-san 2nd Season,Ep 12/12,SUB
1365,My Next Life as a Villainess: All Routes Lead to Doom! 2nd Season,Ep 12/12,"SUB
DUB"
1366,Osomatsu-san 3rd Season,Ep 25/25,SUB
