,name,ep,lan
99,Four People and Their Respective Lies,Ep 11/11,SUB
100,Yowamushi Pedal 5th Season,Ep 25/25,SUB
101,Management of Novice Alchemist,Ep 12/12,"SUB
DUB"
102,Arknights Animation: Prelude to Dawn,Ep 8/8,SUB
103,Immoral Guild,Ep 12/12,SUB
104,Love Flops,Ep 12/12,"SUB
DUB"
105,"Play It Cool, Guys",Ep 24/24,SUB
106,Mobile Suit Gundam: The Witch from Mercury,Ep 12/12,"SUB
DUB"
107,Princess of the Bibliophile.,Ep 12/12,SUB
108,Pop Team Epic 2nd Season,Ep 12/12,"SUB
DUB"
109,Raven of the Inner Palace,Ep 13/13,"SUB
DUB"
110,Link Click Episode 5.5,Ep 1/1,"SUB
DUB"
111,Beast Tamer,Ep 13/13,"SUB
DUB"
112,Peter Grill and the Philosopher's Time: Super Extra,Ep 12/12,"SUB
DUB"
113,"More than a married couple, but not lovers.",Ep 12/12,"SUB
DUB"
114,Shinobi no Ittoki,Ep 12/12,"SUB
DUB"
115,Golden Kamuy Season 4,Ep 13/13,"SUB
DUB"
116,Reincarnated as a Sword,Ep 12/12,"SUB
DUB"
117,Urusei Yatsura,Ep 23/23,"SUB
DUB"
118,Welcome to Demon School! Iruma-kun Season 3,Ep 21/21,"SUB
DUB"
119,To Your Eternity Season 2,Ep 20/20,"SUB
DUB"
120,Mobile Suit Gundam: The Witch from Mercury - Prologue,Ep 1/1,"SUB
DUB"
121,I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,Ep 12/12,"SUB
DUB"
122,"I'm the Villainess, So I'm Taming the Final Boss",Ep 12/12,"SUB
DUB"
123,My Hero Academia Season 6,Ep 25/25,"SUB
DUB"
124,Mob Psycho 100 III,Ep 12/12,"SUB
DUB"
125,"Spy x Family, Part 2",Ep 13/13,"SUB
DUB"
126,Tomb of Fallen Gods,Ep 16/16,SUB
127,Drifting Home,Ep Full,"SUB
DUB"
128,"BASTARD!! Heavy Metal, Dark Fantasy Part 2",Ep 11/11,"SUB
DUB"
129,The Tatami Time Machine Blues,Ep 6/6,SUB
130,Please Take My Brother Away 5,Ep 12/12,SUB
131,The Missing 8,Ep 8/8,SUB
132,"I, Tsushima (ONA)",Ep 93/93,SUB
133,Fairy Mountain,Ep 17/17,SUB
134,Perman (1983),Ep 295/526,SUB
135,Tekken: Bloodline,Ep 6/6,"SUB
DUB"
136,Luminous Witches Recap,Ep 1/1,SUB
137,Jade Dynasty,Ep 26/26,SUB
138,A World Worth Protecting,Ep 16/16,SUB
139,Doomsday with My Dog,Ep 72/72,SUB
140,My Hero Academia ONA,Ep 2/2,"SUB
DUB"
141,Knights of the Zodiac: Saint Seiya - Battle for Sanctuary,Ep 12/12,"SUB
DUB"
142,Swarm,Ep 12/12,SUB
143,Master of the Star Spring,Ep 48/48,SUB
144,Overlord: Ple Ple Pleiades 4,Ep 13/13,SUB
145,Warring States Of A Millenia,Ep 16/16,SUB
146,Obey Me! 2nd Season,Ep 12/12,SUB
147,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV: Play Back,Ep 1/1,"SUB
DUB"
148,"I'm Quitting Heroing: Remember, the Work Trip is First and Foremost a Learning Opportunity",Ep 2/2,"SUB
DUB"
149,Cinderella Chef 3rd Season,Ep 12/12,SUB
150,Harem in the Labyrinth of Another World (Uncensored),Ep 12/12,SUB
151,Legendary Twins,Ep 18/18,SUB
152,Fairies Albums 3rd Season,Ep 12/12,SUB
153,War God System! I’m Counting On You!,Ep 16/16,SUB
154,God Troubles Me,Ep 12/12,SUB
155,Doupo Cangqiong: Yuanqi,Ep 3/3,SUB
156,Battle Through The Heavens 5th Season,Ep 97,SUB
157,"A Gentle Dragon of 5000 Years Old, It Was Recognized as an Evil Dragon Without Any Cause",Ep 12/12,SUB
158,Great Doctor Miss Nine,Ep 60/60,SUB
159,BanG Dream! Morfonication,Ep 2/2,SUB
160,D4DJ: Double Mix,Ep 1/1,SUB
161,Dr. Stone: Ryuusui,Ep 1/1,"SUB
DUB"
162,Arifureta: From Commonplace to World's Strongest Season OVA,Ep 2/1,"SUB
DUB"
163,Sasaki and Miyano: A Little Story Before I Realized Love,Ep 1/1,SUB
164,A Will Eternal 2 season,Ep 54/54,SUB
165,Compulsive Gambler Twin,Ep 6/6,"SUB
DUB"
166,Hanabi-chan wa Okuregachi,Ep 12/12,SUB
167,Chimimo,Ep 12/12,SUB
168,Nights with a Cat,Ep 30/30,SUB
169,Cardfight!! Vanguard: overDress Season 3,Ep 13/13,"SUB
DUB"
170,Smile of the Arsnotoria the Animation,Ep 12/12,"SUB
DUB"
171,Extreme Hearts,Ep 12/12,SUB
172,Shine Post,Ep 12/12,SUB
173,Teppen!!!!!!!!!!!!!!!,Ep 12/12,SUB
174,Yurei Deco,Ep 12/12,SUB
175,Shoot! Goal to the Future,Ep 13/13,"SUB
DUB"
176,Phantom of the Idol,Ep 10/10,"SUB
DUB"
177,The Prince of Tennis II: U-17 World Cup,Ep 13/13,"SUB
DUB"
178,Prima Doll,Ep 12/12,SUB
179,Shine On! Bakumatsu Bad Boys,Ep 12/12,SUB
180,Love Live! Superstar!! 2nd Season,Ep 12/12,SUB
181,Lycoris Recoil,Ep 13/13,"SUB
DUB"
182,Lucifer and the Biscuit Hammer,Ep 24/24,"SUB
DUB"
183,Orient Part 2,Ep 12/12,"SUB
DUB"
184,Black Summoner,Ep 12/12,"SUB
DUB"
185,Parallel World Pharmacy,Ep 12/12,"SUB
DUB"
186,RWBY: Ice Queendom,Ep 12/12,"SUB
DUB"
187,The Maid I Hired Recently Is Mysterious,Ep 11/11,"SUB
DUB"
188,The Yakuza's Guide to Babysitting,Ep 12/12,"SUB
DUB"
189,Ojisan in Another World,Ep 13/13,"SUB
DUB"
190,Engage Kiss,Ep 13/13,"SUB
DUB"
191,Vermeil in Gold,Ep 12/12,"SUB
DUB"
192,Shadows House 2nd Season,Ep 12/12,"SUB
DUB"
193,After-School Hanako-kun,Ep 3/4,"SUB
DUB"
194,I'm Giving the Disgraced Noble Lady I Rescued a Crash Course in Naughtiness,Ep 12/12,SUB
195,I'm in Love with the Villainess,Ep 12/12,"SUB
DUB"
196,The Vexations of a Shut-In Vampire Princess,Ep 12/12,"SUB
DUB"
197,The Seven Deadly Sins: Four Knights of the Apocalypse,Ep 24/24,SUB
198,The Saint's Magic Power is Omnipotent Season 2,Ep 12/12,"SUB
DUB"
